0,1,296,,,,,,,,,,,,[0.90876044 0.25089644 0.        ],,,,,,[0.92587119 0.26868529 0.        ],,
0,2,592,,,,,,,,,,,,[0.91592309 0.0127309  0.        ],,,,,,[0.92650473 0.02361146 0.        ],,
0,3,888,,,,,,,,,,,,[0.91672241 0.01732501 0.        ],,,,,,[0.9280852  0.00093905 0.        ],,
0,4,1184,,,,,,,,,,,,[0.92010553 0.06241014 0.        ],,,,,,[0.93088439 0.04214252 0.        ],,
0,5,1480,,,,,,,,,,,,[0.91602332 0.00792389 0.        ],,,,,,[0.92824218 0.00200626 0.        ],,
0,6,1776,,,,,,,,,,,,[0.92234105 0.085411   0.        ],,,,,,[0.93341756 0.07095134 0.        ],,
0,7,2072,,,,,,,,,,,,[0.93382784 0.27946472 0.        ],,,,,,[0.94181601 0.28805269 0.        ],,
0,8,2368,,,,,,,,,,,,[0.89143826 0.34614892 0.        ],,,,,,[0.88978615 0.30865153 0.        ],,
0,9,2664,,,,,,,,,,,,[0.93336756 0.26541447 0.        ],,,,,,[0.94127404 0.27243103 0.        ],,
0,10,2960,,,,,,,,,,,,[0.92178266 0.4132842  0.        ],,,,,,[0.91778269 0.36166337 0.        ],,
0,11,3256,,,,,,,,,,,,[0.93896382 0.41007775 0.00257951],,,,,,[0.94448184 0.3991496  0.        ],,
0,12,3552,,,,,,,,,,,,[0.92371305 0.40983298 0.        ],,,,,,[0.92289462 0.3704412  0.        ],,
0,13,3848,,,,,,,,,,,,[0.93965291 0.39115749 0.11819306],,,,,,[0.94245208 0.37468534 0.04869823],,
0,14,4144,,,,,,,,,,,,[0.94019259 0.40005371 0.00367984],,,,,,[0.942661   0.37408106 0.00201231],,
0,15,4440,,,,,,,,,,,,[0.93955326 0.4053817  0.05595309],,,,,,[0.94050811 0.35950838 0.06377126],,
0,16,4736,,,,,,,,,,,,[0.91863169 0.43393511 0.04907365],,,,,,[0.91535814 0.36963179 0.00871007],,
0,17,5032,,,,,,,,,,,,[0.92277246 0.38866604 0.2009153 ],,,,,,[0.92155993 0.35627753 0.16345347],,
0,18,5328,,,,,,,,,,,,[0.9374448  0.30794575 0.1648369 ],,,,,,[0.94080408 0.28184646 0.10571139],,
0,19,5624,,,,,,,,,,,,[0.91740259 0.43200714 0.11749354],,,,,,[0.90799967 0.35166529 0.05610902],,
0,20,5920,,,,,,,,,,,,[0.93145585 0.46504819 0.08132509],,,,,,[0.92623058 0.3802705  0.02694982],,
0,21,6216,,,,,,,,,,,,[0.94524127 0.45200029 0.15496651],,,,,,[0.93923278 0.34585875 0.11084303],,
0,22,6512,,,,,,,,,,,,[0.91579597 0.44024636 0.2181213 ],,,,,,[0.90612345 0.34449179 0.17675002],,
0,23,6808,,,,,,,,,,,,[0.943363   0.49603578 0.23334962],,,,,,[0.93534192 0.37683999 0.16610625],,
0,24,7104,,,,,,,,,,,,[0.94332569 0.45503676 0.24115319],,,,,,[0.93796629 0.34536083 0.17499767],,
0,25,7400,,,,,,,,,,,,[0.92009326 0.44444897 0.24084977],,,,,,[0.91530132 0.3398545  0.15506998],,
0,26,7696,,,,,,,,,,,,[0.94344353 0.42636384 0.21770308],,,,,,[0.94196744 0.35764752 0.15867087],,
0,27,7992,,,,,,,,,,,,[0.9346172  0.48193781 0.28683289],,,,,,[0.91219664 0.31801782 0.23481761],,
0,28,8288,,,,,,,,,,,,[0.94044561 0.41557031 0.32776649],,,,,,[0.93578921 0.32169008 0.2699293 ],,
0,29,8584,,,,,,,,,,,,[0.94694129 0.48723921 0.27417458],,,,,,[0.93008532 0.33197697 0.2195393 ],,
0,30,8880,,,,,,,,,,,,[0.9444042  0.51452282 0.30077825],,,,,,[0.92559561 0.34731922 0.22367094],,
0,31,9176,,,,,,,,,,,,[0.94692974 0.42388426 0.26742609],,,,,,[0.9390041  0.27965961 0.22109036],,
0,32,9472,,,,,,,,,,,,[0.94758618 0.49765374 0.33524917],,,,,,[0.93871885 0.35655451 0.26430487],,
0,33,9768,,,,,,,,,,,,[0.95102721 0.5349128  0.31093843],,,,,,[0.93460712 0.37735444 0.22994127],,
0,34,10064,,,,,,,,,,,,[0.94872319 0.49691203 0.25648297],,,,,,[0.92818585 0.31087965 0.17835083],,
0,35,10360,,,,,,,,,,,,[0.92682649 0.46950463 0.21511959],,,,,,[0.91328911 0.34909438 0.17779075],,
0,36,10656,,,,,,,,,,,,[0.93655422 0.4886085  0.31874127],,,,,,[0.92053887 0.36312435 0.23697101],,
0,37,10952,,,,,,,,,,,,[0.94446007 0.37736562 0.32171301],,,,,,[0.93965152 0.2679663  0.2699699 ],,
0,38,11248,,,,,,,,,,,,[0.93570531 0.51161434 0.33045239],,,,,,[0.91466745 0.35374289 0.25035067],,
0,39,11544,,,,,,,,,,,,[0.95413819 0.53772508 0.33937393],,,,,,[0.93777735 0.34368058 0.26933879],,
0,40,11840,,,,,,,,,,,,[0.94590855 0.5298533  0.29414106],,,,,,[0.93170558 0.36607033 0.2119818 ],,
0,41,12136,,,,,,,,,,,,[0.95540849 0.52354394 0.34612061],,,,,,[0.94413321 0.35007222 0.28290218],,
0,42,12432,,,,,,,,,,,,[0.95017173 0.55566931 0.32881804],,,,,,[0.93051721 0.37156311 0.26155509],,
0,43,12728,,,,,,,,,,,,[0.95425893 0.55727116 0.37243016],,,,,,[0.93741254 0.37691505 0.28786546],,
0,44,13024,,,,,,,,,,,,[0.95349669 0.512076   0.35227746],,,,,,[0.9469597  0.3499193  0.26525724],,
0,45,13320,,,,,,,,,,,,[0.94943997 0.55646856 0.37782791],,,,,,[0.92706    0.36626843 0.29828079],,
0,46,13616,,,,,,,,,,,,[0.94139437 0.44660063 0.37040744],,,,,,[0.92815552 0.26863344 0.29459272],,
0,47,13912,,,,,,,,,,,,[0.95359501 0.53619802 0.35197262],,,,,,[0.93741619 0.35038024 0.26897367],,
0,48,14208,,,,,,,,,,,,[0.95030722 0.54187917 0.34845319],,,,,,[0.93681187 0.37771878 0.29380561],,
0,49,14504,,,,,,,,,,,,[0.94044497 0.51993732 0.35367154],,,,,,[0.91983474 0.34879331 0.26010904],,
0,50,14800,,,,,,,,,,,,[0.95540838 0.54275211 0.3711879 ],,,,,,[0.93721541 0.34862543 0.29721769],,
0,51,15096,,,,,,,,,,,,[0.9562947 0.5716262 0.3549153],,,,,,[0.94263252 0.38586312 0.28952462],,
0,52,15392,,,,,,,,,,,,[0.95175027 0.5665967  0.33944818],,,,,,[0.93977714 0.40457048 0.29172532],,
0,53,15688,,,,,,,,,,,,[0.9597937  0.57929898 0.36450982],,,,,,[0.94329846 0.36901975 0.30097161],,
0,54,15984,,,,,,,,,,,,[0.95505365 0.49872862 0.36517655],,,,,,[0.94301265 0.28989678 0.30761749],,
0,55,16280,,,,,,,,,,,,[0.96020944 0.59848399 0.3684577 ],,,,,,[0.94009446 0.36790896 0.30611289],,
0,56,16576,,,,,,,,,,,,[0.94672976 0.56280945 0.37456794],,,,,,[0.92915393 0.38154809 0.31226283],,
0,57,16872,,,,,,,,,,,,[0.94845745 0.57704559 0.36463198],,,,,,[0.92551899 0.37061224 0.30036043],,
0,58,17168,,,,,,,,,,,,[0.95325593 0.58867913 0.38659164],,,,,,[0.93315251 0.38383825 0.31953646],,
0,59,17464,,,,,,,,,,,,[0.9589288  0.5753639  0.37941727],,,,,,[0.94739965 0.38041861 0.30773618],,
0,60,17760,,,,,,,,,,,,[0.95633206 0.54400658 0.36955646],,,,,,[0.93257329 0.2956636  0.31785271],,
0,61,18056,,,,,,,,,,,,[0.95746152 0.59159039 0.39238454],,,,,,[0.92934022 0.34434603 0.31897785],,
0,62,18352,,,,,,,,,,,,[0.95511211 0.60100133 0.34718961],,,,,,[0.92530949 0.34449669 0.27775871],,
0,63,18648,,,,,,,,,,,,[0.96004006 0.60533874 0.37755365],,,,,,[0.94288747 0.39978743 0.30530605],,
0,64,18944,,,,,,,,,,,,[0.94926818 0.57868601 0.39110636],,,,,,[0.92550192 0.37778412 0.32599196],,
0,65,19240,,,,,,,,,,,,[0.94606654 0.56689509 0.38371045],,,,,,[0.91566154 0.34175035 0.31338752],,
0,66,19536,,,,,,,,,,,,[0.95398908 0.59623244 0.3621815 ],,,,,,[0.92735876 0.352265   0.30692069],,
0,67,19832,,,,,,,,,,,,[0.95604912 0.60973345 0.37647252],,,,,,[0.92664654 0.37018851 0.30276752],,
0,68,20128,,,,,,,,,,,,[0.9567455  0.60809549 0.35839613],,,,,,[0.93102589 0.36751746 0.29174149],,
0,69,20424,,,,,,,,,,,,[0.95641111 0.57448278 0.38259276],,,,,,[0.93669327 0.33934537 0.31008883],,
0,70,20720,,,,,,,,,,,,[0.95618872 0.57034156 0.35713117],,,,,,[0.93732469 0.35010796 0.29243451],,
0,71,21016,,,,,,,,,,,,[0.95983763 0.62561628 0.36309882],,,,,,[0.93743238 0.40510771 0.29068833],,
0,72,21312,,,,,,,,,,,,[0.9576749  0.61490022 0.38377235],,,,,,[0.93126971 0.37459188 0.32142438],,
0,73,21608,,,,,,,,,,,,[0.95798583 0.60744978 0.39224169],,,,,,[0.93095049 0.37600982 0.3239469 ],,
0,74,21904,,,,,,,,,,,,[0.96144167 0.61998744 0.39034745],,,,,,[0.93582643 0.36871865 0.32023242],,
0,75,22200,,,,,,,,,,,,[0.96254996 0.63446854 0.4021968 ],,,,,,[0.94317188 0.41102336 0.32544388],,
0,76,22496,,,,,,,,,,,,[0.96345849 0.61991252 0.41387495],,,,,,[0.94219329 0.35597718 0.32016798],,
0,77,22792,,,,,,,,,,,,[0.96062473 0.61605221 0.41331004],,,,,,[0.9371653  0.36297535 0.32750203],,
0,78,23088,,,,,,,,,,,,[0.96043804 0.61551121 0.41175128],,,,,,[0.93804419 0.39697523 0.31399282],,
0,79,23384,,,,,,,,,,,,[0.96312073 0.6442155  0.40881595],,,,,,[0.94267874 0.42186933 0.32041649],,
0,80,23680,,,,,,,,,,,,[0.96255182 0.6261552  0.40150475],,,,,,[0.93979021 0.36652968 0.31879365],,
0,81,23976,,,,,,,,,,,,[0.96360364 0.61724869 0.40573439],,,,,,[0.94169052 0.36227917 0.31590172],,
0,82,24272,,,,,,,,,,,,[0.96313348 0.63252254 0.41753551],,,,,,[0.94110517 0.39642995 0.32229653],,
0,83,24568,,,,,,,,,,,,[0.95304622 0.60376241 0.41284293],,,,,,[0.92478758 0.37666885 0.32173524],,
0,84,24864,,,,,,,,,,,,[0.96434952 0.64757022 0.40872556],,,,,,[0.94190952 0.40499008 0.31753485],,
0,85,25160,,,,,,,,,,,,[0.95579423 0.60556424 0.42074332],,,,,,[0.93091654 0.38610057 0.32267785],,
0,86,25456,,,,,,,,,,,,[0.96534702 0.6546848  0.40624347],,,,,,[0.94125325 0.39590028 0.3088764 ],,
0,87,25752,,,,,,,,,,,,[0.95569545 0.61712471 0.39319825],,,,,,[0.92707774 0.39392514 0.29572378],,
0,88,26048,,,,,,,,,,,,[0.96493081 0.64329879 0.40272019],,,,,,[0.94328995 0.38483926 0.31107069],,
0,89,26344,,,,,,,,,,,,[0.95271852 0.60880751 0.41040533],,,,,,[0.92099694 0.3718408  0.30225152],,
0,90,26640,,,,,,,,,,,,[0.93937542 0.4926462  0.28667025],,,,,,[0.92259124 0.34786771 0.21628358],,
0,91,26936,,,,,,,,,,,,[0.95479196 0.58202763 0.41454912],,,,,,[0.93114727 0.3714086  0.32254815],,
0,92,27232,,,,,,,,,,,,[0.96210905 0.61225605 0.4163899 ],,,,,,[0.93744459 0.3705924  0.31420919],,
0,93,27528,,,,,,,,,,,,[0.96316042 0.64160311 0.41136996],,,,,,[0.94257249 0.41562072 0.32661785],,
0,94,27824,,,,,,,,,,,,[0.96207577 0.63165436 0.41120518],,,,,,[0.93516824 0.35265545 0.32890805],,
0,95,28120,,,,,,,,,,,,[0.96221094 0.64473261 0.41066316],,,,,,[0.93609977 0.3963658  0.3200704 ],,
0,96,28416,,,,,,,,,,,,[0.96159007 0.62556773 0.40902365],,,,,,[0.93900884 0.39041895 0.32607066],,
0,97,28712,,,,,,,,,,,,[0.95761931 0.60823895 0.38965566],,,,,,[0.93982674 0.40722271 0.30513062],,
0,98,29008,,,,,,,,,,,,[0.95355797 0.60245267 0.40291093],,,,,,[0.92366706 0.38073725 0.3031659 ],,
0,99,29304,,,,,,,,,,,,[0.95848379 0.62610884 0.41341931],,,,,,[0.9267027  0.35813167 0.3250966 ],,
0,100,29600,,,,,,,,,,,,[0.9636457  0.63737691 0.4227872 ],,,,,,[0.93990166 0.3825806  0.327443  ],,
0,101,29896,,,,,,,,,,,,[0.96451838 0.65688443 0.41926185],,,,,,[0.93552451 0.37397813 0.33176017],,
0,102,30192,,,,,,,,,,,,[0.96549913 0.65712624 0.4284336 ],,,,,,[0.93881546 0.36485764 0.32446312],,
0,103,30488,,,,,,,,,,,,[0.96752095 0.66583686 0.42863083],,,,,,[0.94345502 0.38645135 0.33586572],,
0,104,30784,,,,,,,,,,,,[0.96534496 0.65769295 0.43270961],,,,,,[0.93974938 0.37052333 0.3340522 ],,
0,105,31080,,,,,,,,,,,,[0.9610738  0.64128012 0.41656878],,,,,,[0.93568891 0.38832399 0.33105587],,
0,106,31376,,,,,,,,,,,,[0.96459667 0.63921936 0.42027327],,,,,,[0.93961313 0.34593385 0.34288265],,
0,107,31672,,,,,,,,,,,,[0.96431253 0.65919086 0.43253157],,,,,,[0.93277548 0.36013058 0.34168706],,
0,108,31968,,,,,,,,,,,,[0.9633522  0.65394968 0.42855865],,,,,,[0.93383314 0.35453031 0.33809223],,
0,109,32264,,,,,,,,,,,,[0.96761802 0.67515038 0.43740091],,,,,,[0.93973896 0.38791972 0.33832889],,
0,110,32560,,,,,,,,,,,,[0.96752254 0.67206421 0.4348471 ],,,,,,[0.93765927 0.3613023  0.32626366],,
0,111,32856,,,,,,,,,,,,[0.96395798 0.66231842 0.43006934],,,,,,[0.93533615 0.38972741 0.33634437],,
0,112,33152,,,,,,,,,,,,[0.96172771 0.65241392 0.43684132],,,,,,[0.93154164 0.39359529 0.34676269],,
0,113,33448,,,,,,,,,,,,[0.95811836 0.62164205 0.42563221],,,,,,[0.92807637 0.34167618 0.34882668],,
0,114,33744,,,,,,,,,,,,[0.96795502 0.67590184 0.42497312],,,,,,[0.94175917 0.39815345 0.33015006],,
0,115,34040,,,,,,,,,,,,[0.96788381 0.66743163 0.433864  ],,,,,,[0.94022914 0.38207319 0.33295968],,
0,116,34336,,,,,,,,,,,,[0.96430995 0.6663324  0.43617515],,,,,,[0.93259893 0.39159425 0.3365684 ],,
0,117,34632,,,,,,,,,,,,[0.96484781 0.66824072 0.41840842],,,,,,[0.93810724 0.39544021 0.32694286],,
0,118,34928,,,,,,,,,,,,[0.96689424 0.67877029 0.43281352],,,,,,[0.93683668 0.38278567 0.34281767],,
