0,1,296,,,,,,,,,,,,,[1.73034061e+08 6.90253400e+06 0.00000000e+00 9.90676400e+06
 5.77328700e+06 0.00000000e+00 5.63323000e+05 4.28052000e+05
 0.00000000e+00],,,,,,,
0,2,592,,,,,,,,,,,,,[1.79876858e+08 5.97370000e+04 0.00000000e+00 1.54794300e+07
 2.00621000e+05 0.00000000e+00 9.72580000e+05 1.87950000e+04
 0.00000000e+00],,,,,,,
0,3,888,,,,,,,,,,,,,[1.79935552e+08 1.04300000e+03 0.00000000e+00 1.54074400e+07
 2.72611000e+05 0.00000000e+00 9.37358000e+05 5.40170000e+04
 0.00000000e+00],,,,,,,
0,4,1184,,,,,,,,,,,,,[1.79829164e+08 1.07431000e+05 0.00000000e+00 1.46842570e+07
 9.95794000e+05 0.00000000e+00 8.23212000e+05 1.68163000e+05
 0.00000000e+00],,,,,,,
0,5,1480,,,,,,,,,,,,,[1.79932181e+08 4.41400000e+03 0.00000000e+00 1.55553270e+07
 1.24724000e+05 0.00000000e+00 9.35589000e+05 5.57860000e+04
 0.00000000e+00],,,,,,,
0,6,1776,,,,,,,,,,,,,[1.7978800e+08 1.4859500e+05 0.0000000e+00 1.4302115e+07 1.3779360e+06
 0.0000000e+00 6.8701700e+05 3.0435800e+05 0.0000000e+00],,,,,,,
0,7,2072,,,,,,,,,,,,,[1.78353522e+08 1.58307300e+06 0.00000000e+00 1.06826870e+07
 4.99736400e+06 0.00000000e+00 3.72585000e+05 6.18790000e+05
 0.00000000e+00],,,,,,,
0,8,2368,,,,,,,,,,,,,[1.64761844e+08 1.51747510e+07 0.00000000e+00 4.71666500e+06
 1.09633860e+07 0.00000000e+00 1.73722000e+05 8.17653000e+05
 0.00000000e+00],,,,,,,
0,9,2664,,,,,,,,,,,,,[1.78520545e+08 1.41605000e+06 0.00000000e+00 1.09735550e+07
 4.70649600e+06 0.00000000e+00 3.54848000e+05 6.36527000e+05
 0.00000000e+00],,,,,,,
0,10,2960,,,,,,,,,,,,,[1.70638268e+08 9.29832700e+06 0.00000000e+00 5.01556800e+06
 1.06644830e+07 0.00000000e+00 1.65517000e+05 8.25858000e+05
 0.00000000e+00],,,,,,,
0,11,3256,,,,,,,,,,,,,[1.76212684e+08 3.72391100e+06 0.00000000e+00 7.43710100e+06
 8.24227700e+06 6.73000000e+02 2.93475000e+05 6.95341000e+05
 2.55900000e+03],,,,,,,
0,12,3552,,,,,,,,,,,,,[1.71316418e+08 8.62017700e+06 0.00000000e+00 5.37682900e+06
 1.03032220e+07 0.00000000e+00 1.51552000e+05 8.39823000e+05
 0.00000000e+00],,,,,,,
0,13,3848,,,,,,,,,,,,,[1.76924178e+08 3.00799800e+06 4.41900000e+03 8.07472100e+06
 7.54101100e+06 6.43190000e+04 2.75418000e+05 5.90659000e+05
 1.25298000e+05],,,,,,,
0,14,4144,,,,,,,,,,,,,[1.76710156e+08 3.22643900e+06 0.00000000e+00 7.80449200e+06
 7.87477000e+06 7.89000000e+02 2.09932000e+05 7.77792000e+05
 3.65100000e+03],,,,,,,
0,15,4440,,,,,,,,,,,,,[1.76432413e+08 3.50307900e+06 1.10300000e+03 7.60281600e+06
 8.05652500e+06 2.07100000e+04 2.43890000e+05 6.90794000e+05
 5.66910000e+04],,,,,,,
0,16,4736,,,,,,,,,,,,,[1.68855088e+08 1.10814250e+07 8.20000000e+01 3.71591000e+06
 1.19525750e+07 1.15660000e+04 1.59015000e+05 7.83138000e+05
