0,10,2960,,,,,,,,,,,,,[1.70877939e+08 9.05865600e+06 0.00000000e+00 5.54467900e+06
 1.01353720e+07 0.00000000e+00 1.42803000e+05 8.48572000e+05
 0.00000000e+00],,,,,,,
0,20,5920,,,,,,,,,,,,,[1.78881134e+08 1.05015900e+06 5.30200000e+03 9.84844700e+06
 5.77471800e+06 5.68860000e+04 3.37548000e+05 5.13444000e+05
 1.40383000e+05],,,,,,,
0,30,8880,,,,,,,,,,,,,[1.75095406e+08 4.77245700e+06 6.87320000e+04 4.15392700e+06
 1.13038770e+07 2.22247000e+05 2.08118000e+05 3.71072000e+05
 4.12185000e+05],,,,,,,
0,40,11840,,,,,,,,,,,,,[1.77473503e+08 2.39671100e+06 6.63810000e+04 5.48823600e+06
 9.95182600e+06 2.39989000e+05 2.34314000e+05 3.18280000e+05
 4.38781000e+05],,,,,,,
0,50,14800,,,,,,,,,,,,,[1.75936134e+08 3.91156600e+06 8.88950000e+04 3.41316300e+06
 1.20379340e+07 2.28954000e+05 1.85218000e+05 3.26989000e+05
 4.79168000e+05],,,,,,,
0,60,17760,,,,,,,,,,,,,[1.75483479e+08 4.39012200e+06 6.29940000e+04 3.52080400e+06
 1.19546770e+07 2.04570000e+05 2.12618000e+05 3.12697000e+05
 4.66060000e+05],,,,,,,
0,70,20720,,,,,,,,,,,,,[1.76961814e+08 2.88847300e+06 8.63080000e+04 4.50124800e+06
 1.09216600e+07 2.57143000e+05 2.15035000e+05 2.56355000e+05
 5.19985000e+05],,,,,,,
0,80,23680,,,,,,,,,,,,,[1.76654126e+08 3.14198400e+06 1.40485000e+05 3.25155200e+06
 1.21412310e+07 2.87268000e+05 1.67434000e+05 2.45472000e+05
 5.78469000e+05],,,,,,,
0,90,26640,,,,,,,,,,,,,[1.76250938e+08 3.62082800e+06 6.48290000e+04 2.74250200e+06
 1.27918830e+07 1.45666000e+05 1.91012000e+05 3.35022000e+05
 4.65341000e+05],,,,,,,
0,100,29600,,,,,,,,,,,,,[1.77943129e+08 1.91202100e+06 8.14450000e+04 3.80729700e+06
 1.16548820e+07 2.17872000e+05 2.09462000e+05 2.40571000e+05
 5.41342000e+05],,,,,,,
0,110,32560,,,,,,,,,,,,,[1.75395539e+08 4.39147800e+06 1.49578000e+05 2.06296300e+06
 1.34180900e+07 1.98998000e+05 1.43548000e+05 2.76626000e+05
 5.71201000e+05],,,,,,,
0,120,35520,,,,,,,,,,,,,[1.75940848e+08 3.85816100e+06 1.37586000e+05 2.28002600e+06
 1.32191800e+07 1.80845000e+05 1.62953000e+05 2.78177000e+05
 5.50245000e+05],,,,,,,
0,130,38480,,,,,,,,,,,,,[1.77340153e+08 2.49036800e+06 1.06074000e+05 2.90248000e+06
 1.25941300e+07 1.83441000e+05 1.62233000e+05 2.63937000e+05
 5.65205000e+05],,,,,,,
0,140,41440,,,,,,,,,,,,,[1.76820699e+08 3.00468900e+06 1.11207000e+05 2.72780400e+06
 1.27646620e+07 1.87585000e+05 1.73417000e+05 2.53440000e+05
 5.64518000e+05],,,,,,,
0,150,44400,,,,,,,,,,,,,[1.76759336e+08 3.04503500e+06 1.32224000e+05 2.54557600e+06
 1.29336400e+07 2.00835000e+05 1.66432000e+05 2.41256000e+05
 5.83687000e+05],,,,,,,
0,160,47360,,,,,,,,,,,,,[1.77657972e+08 2.14068300e+06 1.37940000e+05 2.73089500e+06
 1.27001240e+07 2.49032000e+05 1.65024000e+05 1.96187000e+05
 6.30164000e+05],,,,,,,
0,170,50320,,,,,,,,,,,,,[1.77525425e+08 2.30780100e+06 1.03369000e+05 2.46098600e+06
 1.30566090e+07 1.62456000e+05 1.83699000e+05 2.43335000e+05
 5.64341000e+05],,,,,,,
0,180,53280,,,,,,,,,,,,,[1.7614255e+08 3.7363810e+06 5.7664000e+04 2.3967090e+06 1.3200355e+07
 8.2987000e+04 1.7574600e+05 3.6516500e+05 4.5046400e+05],,,,,,,
0,190,56240,,,,,,,,,,,,,[1.77572039e+08 2.24158500e+06 1.22971000e+05 2.57005000e+06
 1.29324840e+07 1.77517000e+05 1.70357000e+05 2.21097000e+05
 5.99921000e+05],,,,,,,
0,200,59200,,,,,,,,,,,,,[1.77888691e+08 1.89472600e+06 1.53178000e+05 2.70552300e+06
 1.27292100e+07 2.45318000e+05 1.52375000e+05 1.76014000e+05
 6.62986000e+05],,,,,,,
0,210,62160,,,,,,,,,,,,,[1.78121606e+08 1.73730500e+06 7.76840000e+04 2.94124700e+06
 1.26143570e+07 1.24447000e+05 1.95369000e+05 2.62699000e+05
 5.33307000e+05],,,,,,,
0,220,65120,,,,,,,,,,,,,[1.77510157e+08 2.28737500e+06 1.39063000e+05 2.29573900e+06
 1.31918010e+07 1.92511000e+05 1.52961000e+05 2.04360000e+05
 6.34054000e+05],,,,,,,
0,230,68080,,,,,,,,,,,,,[1.77102278e+08 2.64573200e+06 1.88585000e+05 2.19946600e+06
 1.32284120e+07 2.52173000e+05 1.24103000e+05 1.70869000e+05
 6.96403000e+05],,,,,,,
0,240,71040,,,,,,,,,,,,,[1.77251694e+08 2.54696300e+06 1.37938000e+05 2.11438300e+06
 1.33887240e+07 1.76944000e+05 1.49236000e+05 2.08626000e+05
 6.33513000e+05],,,,,,,
