fold,epoch,iteration,elapsed_time,train/loss,train/acc,train/acc_cls,train/mean_iu,train/fwavacc,train_total/loss,train_total/acc,train_total/acc_cls,train_total/mean_iu,train_total/fwavacc,train_total/iu_cls,train_total/confusion_matrix,valid/loss,valid/acc,valid/acc_cls,valid/mean_iu,valid/iu_cls,valid/confusion_matrix,valid/fwavacc
0,42,12432,,,,,,,,,,,,[ 0.95859815  0.56262669  0.2975326          nan],,,,,,[ 0.93880906  0.32726171  0.21128127         nan],,
0,43,12728,,,,,,,,,,,,[ 0.96156474  0.60444599  0.28341928         nan],,,,,,[ 0.93844029  0.35914994  0.19084609         nan],,
0,44,13024,,,,,,,,,,,,[ 0.95773043  0.60839098  0.34897537         nan],,,,,,[ 0.92761097  0.3720211   0.22751509         nan],,
0,45,13320,,,,,,,,,,,,[ 0.96149544  0.61981634  0.36895891         nan],,,,,,[ 0.93458305  0.36520499  0.25777223         nan],,
0,46,13616,,,,,,,,,,,,[ 0.96187552  0.62282176  0.35748214         nan],,,,,,[ 0.93569011  0.36015163  0.24066269         nan],,
0,47,13912,,,,,,,,,,,,[ 0.95616309  0.60996631  0.37161072         nan],,,,,,[ 0.92023198  0.3456705   0.25363276         nan],,
0,48,14208,,,,,,,,,,,,[ 0.96009811  0.62387323  0.3550543          nan],,,,,,[ 0.93025698  0.36889467  0.2352883          nan],,
0,49,14504,,,,,,,,,,,,[ 0.96225928  0.62260514  0.38488951         nan],,,,,,[ 0.93276401  0.35613907  0.27284505         nan],,
0,50,14800,,,,,,,,,,,,[ 0.95594203  0.61211252  0.37682714         nan],,,,,,[ 0.92364597  0.35727576  0.25291861         nan],,
0,51,15096,,,,,,,,,,,,[ 0.96406272  0.62666539  0.3913482          nan],,,,,,[ 0.93596272  0.3553823   0.28278285         nan],,
0,52,15392,,,,,,,,,,,,[ 0.95556642  0.60835155  0.38839111         nan],,,,,,[ 0.92277447  0.3470189   0.27771676         nan],,
0,53,15688,,,,,,,,,,,,[ 0.96287578  0.63331434  0.37114287         nan],,,,,,[ 0.93232272  0.34845861  0.24397811         nan],,
0,54,15984,,,,,,,,,,,,[ 0.96123575  0.6248654   0.38603028         nan],,,,,,[ 0.934978    0.36782062  0.26113114         nan],,
0,55,16280,,,,,,,,,,,,[ 0.96005074  0.62422948  0.38381669         nan],,,,,,[ 0.92924513  0.35672985  0.26127373         nan],,
0,56,16576,,,,,,,,,,,,[ 0.96251889  0.62267014  0.39803873         nan],,,,,,[ 0.9407798   0.37834088  0.27306801         nan],,
0,57,16872,,,,,,,,,,,,[ 0.95954655  0.62598303  0.40059047         nan],,,,,,[ 0.92932541  0.36705947  0.26274783         nan],,
0,58,17168,,,,,,,,,,,,[ 0.95701724  0.61879149  0.40062979         nan],,,,,,[ 0.92401616  0.35728747  0.26478331         nan],,
0,59,17464,,,,,,,,,,,,[ 0.96324137  0.63580863  0.4081546          nan],,,,,,[ 0.93797152  0.38300878  0.27924488         nan],,
0,60,17760,,,,,,,,,,,,[ 0.96119045  0.63345197  0.4007906          nan],,,,,,[ 0.93685645  0.38814076  0.27102851         nan],,
0,61,18056,,,,,,,,,,,,[ 0.96151732  0.6338263   0.39327683         nan],,,,,,[ 0.92738875  0.35209704  0.26632326         nan],,
0,62,18352,,,,,,,,,,,,[ 0.96489365  0.65352042  0.40465529         nan],,,,,,[ 0.93532375  0.37561348  0.27223963         nan],,
0,63,18648,,,,,,,,,,,,[ 0.96232291  0.64023131  0.39858677         nan],,,,,,[ 0.93366424  0.38542019  0.27138032         nan],,
