epoch,iteration,elapsed_time,train/loss,train/acc,train/acc_cls,train/mean_iu,train/fwavacc,train_total/loss,train_total/acc,train_total/acc_cls,train_total/mean_iu,train_total/fwavacc,valid/loss,valid/acc,valid/acc_cls,valid/mean_iu,valid/fwavacc
0,54,257.221811056,45609.21875,0.92503125,0.5,0.462515625,0.855682813477,,,,,,,,,,
0,55,257.821399927,10147.9238281,1.0,1.0,1.0,1.0,,,,,,,,,,
0,56,258.424938917,30157.2226562,0.9673,0.5,0.48365,0.93566929,,,,,,,,,,
0,57,259.026671886,9384.12890625,1.0,1.0,1.0,1.0,,,,,,,,,,
0,58,259.633430958,13924.5634766,0.98725,0.5,0.493625,0.9746625625,,,,,,,,,,
0,59,260.235911846,12387.6679688,1.0,1.0,1.0,1.0,,,,,,,,,,
0,60,260.834534883,15881.8984375,0.990625,0.5,0.4953125,0.981337890625,,,,,,,,,,
0,61,261.438169003,12450.1933594,1.0,1.0,1.0,1.0,,,,,,,,,,
0,62,262.035695076,13128.234375,1.0,1.0,1.0,1.0,,,,,,,,,,
0,63,262.642102003,76011.828125,0.74063125,0.5,0.370315625,0.548534648477,,,,,,,,,,
0,64,263.240548849,33045.8945312,0.96035625,0.5,0.480178125,0.922284126914,,,,,,,,,,
0,65,263.840095997,15973.7666016,1.0,1.0,1.0,1.0,,,,,,,,,,
0,66,264.444002867,261769.484375,0.1993375,0.5,0.09966875,0.0397354389063,,,,,,,,,,
0,67,265.041231871,17616.703125,1.0,1.0,1.0,1.0,,,,,,,,,,
0,68,265.645070076,65584.625,0.82141875,0.5,0.410709375,0.674728762852,,,,,,,,,,
0,69,266.240778923,21478.6503906,1.0,1.0,1.0,1.0,,,,,,,,,,
0,70,266.840497971,51149.2148438,0.939575,0.5,0.4697875,0.882801180625,,,,,,,,,,
0,71,267.446871996,10519.4033203,1.0,1.0,1.0,1.0,,,,,,,,,,
0,72,268.042867899,77034.5390625,0.72553125,0.5,0.362765625,0.526395594727,,,,,,,,,,
0,73,268.648161888,147560.375,0.5313,0.5,0.26565,0.28227969,,,,,,,,,,
0,74,269.243397951,19644.578125,1.0,1.0,1.0,1.0,,,,,,,,,,
0,75,269.848031044,29754.1054688,0.99005625,0.5,0.495028125,0.980211378164,,,,,,,,,,
0,76,270.455702066,12094.4560547,1.0,1.0,1.0,1.0,,,,,,,,,,
0,77,271.051490068,93510.4375,0.61211875,0.5,0.306059375,0.374689364102,,,,,,,,,,
0,78,271.658390045,86044.390625,0.6344,0.5,0.3172,0.40246336,,,,,,,,,,
0,79,272.255689859,68857.421875,0.796675,0.5,0.3983375,0.634691055625,,,,,,,,,,
0,80,272.862240076,49208.3359375,1.0,1.0,1.0,1.0,,,,,,,,,,
0,81,273.469161987,72343.53125,0.7841125,0.5,0.39205625,0.614832412656,,,,,,,,,,
0,82,274.064040899,15006.3125,1.0,1.0,1.0,1.0,,,,,,,,,,
0,83,274.671052933,31284.8203125,0.99970625,0.5,0.499853125,0.999412586289,,,,,,,,,,
0,84,275.265239954,27287.9941406,0.99358125,0.5,0.496790625,0.987203700352,,,,,,,,,,
0,85,275.871581078,32648.2421875,1.0,1.0,1.0,1.0,,,,,,,,,,
0,86,276.477619886,76799.890625,0.76619375,0.587331674412,0.45994101578,0.675251786679,,,,,,,,,,
0,87,277.074342012,72576.8515625,0.78369375,0.458686563724,0.398147093622,0.685151237238,,,,,,,,,,
0,88,277.682389975,67793.09375,0.72610625,0.565653061629,0.422791727392,0.530470153129,,,,,,,,,,
0,89,278.276978016,65314.015625,0.9475375,0.498703947368,0.47376875,0.900160625,,,,,,,,,,
0,90,278.883117914,38205.4335938,0.93339375,0.5,0.466696875,0.871223892539,,,,,,,,,,
0,91,279.481445074,15574.2871094,1.0,1.0,1.0,1.0,,,,,,,,,,
0,92,280.078405857,57444.0078125,0.9849,0.9849,0.49245,0.9849,,,,,,,,,,
0,93,280.682389975,34395.25,0.9665375,0.5,0.48326875,0.934194738906,,,,,,,,,,
0,94,281.28152585,49841.171875,0.93981875,0.498115145091,0.469909375,0.886601513281,,,,,,,,,,
0,95,281.884145975,26865.1367188,0.973375,0.5,0.4866875,0.947458890625,,,,,,,,,,
0,96,282.477401018,32484.6953125,0.98285625,0.5,0.491428125,0.966006408164,,,,,,,,,,
0,97,283.079879045,66028.4921875,0.83065,0.569694297325,0.486234043574,0.703519086669,,,,,,,,,,
0,98,283.686079025,27718.71875,0.966725,0.5,0.4833625,0.934557225625,,,,,,,,,,
0,99,284.284438848,35014.4453125,0.99213125,0.5,0.496065625,0.984324417227,,,,,,,,,,
0,100,284.892050028,54868.6132812,0.86928125,0.5,0.434640625,0.755649891602,,,,,,,,,,
0,101,285.490586042,34792.4453125,0.9727625,0.5,0.48638125,0.946266881406,,,,,,,,,,
0,102,286.090611935,43790.7734375,0.9647875,0.5,0.48239375,0.930814920156,,,,,,,,,,
0,103,286.698988914,60506.296875,0.897625,0.525726827111,0.471261519547,0.862964618989,,,,,,,,,,
0,104,287.299670935,73356.140625,0.77028125,0.5,0.385140625,0.593333204102,,,,,,,,,,
0,105,287.904031038,61299.3164062,0.779675,0.5,0.3898375,0.607893105625,,,,,,,,,,
0,106,288.501278877,30970.3925781,0.955675,0.5,0.4778375,0.913314705625,,,,,,,,,,
0,107,289.103940964,29527.9765625,0.948825,0.5,0.4744125,0.900268880625,,,,,,,,,,
0,108,289.709480047,33391.6289062,0.9357375,0.5,0.46786875,0.875604668906,,,,,,,,,,
0,109,290.307011843,12167.7929688,1.0,1.0,1.0,1.0,,,,,,,,,,
0,110,290.911325932,34680.5859375,0.94820625,0.5,0.474103125,0.899095092539,,,,,,,,,,
0,111,291.510715008,83427.5859375,0.786475,0.5,0.3932375,0.618542925625,,,,,,,,,,
0,112,292.112725973,12126.9160156,0.99051875,0.5,0.495259375,0.981127394102,,,,,,,,,,
0,113,292.716913939,15730.7861328,0.9896875,0.5,0.49484375,0.979481347656,,,,,,,,,,
0,114,293.314990044,43157.953125,0.91375625,0.5,0.456878125,0.834950484414,,,,,,,,,,
0,115,293.920094013,8144.58300781,0.99799375,0.5,0.498996875,0.995991525039,,,,,,,,,,
0,116,294.516808987,4299.89453125,1.0,1.0,1.0,1.0,,,,,,,,,,
1,117,295.119251013,84698.2109375,0.7900375,0.5,0.39501875,0.624159251406,,,,,,,,,,
1,118,451.823114872,,,,,,180245.042671,0.949574315147,0.510156991699,0.48491806685,0.901694909887,204891.300621,0.943445680756,0.534166505695,0.505743309699,0.890762789067
1,118,452.665030003,7438.62792969,1.0,1.0,1.0,1.0,,,,,,,,,,
1,119,453.292959929,11313.9179688,0.98725,0.5,0.493625,0.9746625625,,,,,,,,,,
1,120,453.901411057,13626.5390625,1.0,1.0,1.0,1.0,,,,,,,,,,
1,121,454.503090858,13462.7626953,0.9844125,0.5,0.49220625,0.969067970156,,,,,,,,,,
1,122,455.09555006,40393.6523438,0.9260375,0.5,0.46301875,0.857545451406,,,,,,,,,,
1,123,455.692035913,4174.73925781,1.0,1.0,1.0,1.0,,,,,,,,,,
1,124,456.294955015,8777.4765625,0.99171875,0.5,0.495859375,0.983506079102,,,,,,,,,,
1,125,456.889234066,4130.95507812,1.0,1.0,1.0,1.0,,,,,,,,,,
1,126,457.493775845,34485.1484375,0.93463125,0.5,0.467315625,0.873535573477,,,,,,,,,,
1,127,458.092427015,53042.6132812,0.87976875,0.5,0.439884375,0.773993053477,,,,,,,,,,
1,128,458.689537048,152768.4375,0.57565,0.5,0.287825,0.3313729225,,,,,,,,,,
1,129,459.292361021,39305.7226562,0.936425,0.5,0.4682125,0.876891780625,,,,,,,,,,
1,130,459.89200592,31105.3632812,0.951075,0.5,0.4755375,0.904543655625,,,,,,,,,,
1,131,460.494976044,44817.6171875,0.9261,0.5,0.46305,0.85766121,,,,,,,,,,
1,132,461.089359045,116534.007812,0.77636875,0.5,0.388184375,0.602748435977,,,,,,,,,,
1,133,461.687286854,36734.4375,0.9433375,0.5,0.47166875,0.889885638906,,,,,,,,,,
1,134,462.290807009,3513.21923828,1.0,1.0,1.0,1.0,,,,,,,,,,
1,135,462.888237,46071.8710938,0.905725,0.5,0.4528625,0.820337775625,,,,,,,,,,
1,136,463.493942976,54498.8046875,0.88319375,0.5,0.441596875,0.780031200039,,,,,,,,,,
1,137,464.091853857,82771.9296875,0.8136,0.5,0.4068,0.66194496,,,,,,,,,,
1,138,464.697278976,57414.375,0.9193125,0.5,0.45965625,0.845135472656,,,,,,,,,,
1,139,465.302474976,21081.9824219,0.9708125,0.5,0.48540625,0.942476910156,,,,,,,,,,
1,140,465.900799036,23787.296875,0.96733125,0.5,0.483665625,0.935729747227,,,,,,,,,,
1,141,466.500434875,4611.2421875,1.0,1.0,1.0,1.0,,,,,,,,,,
1,142,467.102077007,3109.51098633,0.99905,0.5,0.499525,0.9981009025,,,,,,,,,,
1,143,467.706526995,15813.1425781,0.98064375,0.5,0.490321875,0.961662164414,,,,,,,,,,
1,144,468.301795006,11192.7226562,0.989975,0.5,0.4949875,0.980050500625,,,,,,,,,,
1,145,468.90090394,1107.44494629,1.0,1.0,1.0,1.0,,,,,,,,,,
1,146,469.501910925,19564.9960938,0.9727125,0.5,0.48635625,0.946169607656,,,,,,,,,,
1,147,470.098958969,2186.97216797,1.0,1.0,1.0,1.0,,,,,,,,,,
1,148,470.702271938,1234.22119141,1.0,1.0,1.0,1.0,,,,,,,,,,
1,149,471.306861877,107074.273438,0.82196875,0.5,0.410984375,0.675632625977,,,,,,,,,,
1,150,471.904496908,68876.671875,0.8702625,0.5,0.43513125,0.757356818906,,,,,,,,,,
1,151,472.513679028,116928.421875,0.72285,0.5,0.361425,0.5225121225,,,,,,,,,,
1,152,473.109061003,149056.484375,0.575825,0.5,0.2879125,0.331574430625,,,,,,,,,,
1,153,473.714213848,8202.56347656,0.99475,0.5,0.497375,0.9895275625,,,,,,,,,,
1,154,474.313145876,6121.76904297,0.993625,0.5,0.4968125,0.987290640625,,,,,,,,,,
1,155,474.909436941,12807.4609375,0.9813625,0.5,0.49068125,0.963072356406,,,,,,,,,,
1,156,475.515835047,18802.3359375,0.97225625,0.5,0.486128125,0.945282215664,,,,,,,,,,
1,157,476.11202693,1606.97045898,1.0,1.0,1.0,1.0,,,,,,,,,,
1,158,476.715626955,2211.69433594,1.0,1.0,1.0,1.0,,,,,,,,,,
1,159,477.315178871,217424.421875,0.69791875,0.5,0.348959375,0.487090581602,,,,,,,,,,
1,160,477.908853054,106002.992188,0.81713125,0.5,0.408565625,0.667703479727,,,,,,,,,,
1,161,478.510791063,4562.80517578,0.9969875,0.5,0.49849375,0.993984075156,,,,,,,,,,
1,162,479.111890078,84968.7890625,0.87065625,0.5,0.435328125,0.758042305664,,,,,,,,,,
1,163,479.714129925,6818.00292969,0.99344375,0.5,0.496721875,0.986930484414,,,,,,,,,,
1,164,480.31730485,2772.26318359,1.0,1.0,1.0,1.0,,,,,,,,,,
1,165,480.912682056,39140.6484375,0.92858125,0.5,0.464290625,0.862263137852,,,,,,,,,,
1,166,481.516381979,24089.0703125,0.96045625,0.5,0.480228125,0.922476208164,,,,,,,,,,
1,167,482.117522955,113420.445312,0.71003125,0.5,0.355015625,0.504144375977,,,,,,,,,,
1,168,482.712568045,8916.03710938,0.98968125,0.5,0.494840625,0.979468976602,,,,,,,,,,
1,169,483.312654972,83890.6953125,0.73613125,0.5,0.368065625,0.541889217227,,,,,,,,,,
1,170,483.904310942,145362.34375,0.64825625,0.5,0.324128125,0.420236165664,,,,,,,,,,
1,171,484.506656885,45846.125,0.87785,0.5,0.438925,0.7706206225,,,,,,,,,,
1,172,485.100908041,17741.3886719,0.99066875,0.5,0.495334375,0.981424572227,,,,,,,,,,
1,173,485.695039034,2895.60595703,1.0,1.0,1.0,1.0,,,,,,,,,,
1,174,486.300220013,4485.98925781,0.99774375,0.5,0.498871875,0.995492590664,,,,,,,,,,
1,175,486.894206047,69013.828125,0.72961875,0.535568192732,0.398270982703,0.53485647489,,,,,,,,,,
1,176,487.499882936,17704.2539062,0.9774375,0.5,0.48871875,0.955384066406,,,,,,,,,,
1,177,488.096982956,9188.98632812,0.9945,0.5,0.49725,0.98903025,,,,,,,,,,
1,178,488.692837954,61645.9570312,0.86969375,0.5,0.434846875,0.756367218789,,,,,,,,,,
1,179,489.296475887,31389.4023438,0.948825,0.5,0.4744125,0.900268880625,,,,,,,,,,
1,180,489.891396046,14815.3535156,0.98221875,0.5,0.491109375,0.964753672852,,,,,,,,,,
1,181,490.497868061,25025.9003906,0.96571875,0.5,0.482859375,0.932612704102,,,,,,,,,,
1,182,491.090014935,20258.890625,0.98161875,0.5,0.490809375,0.963575370352,,,,,,,,,,
1,183,491.694370985,9151.58203125,0.992025,0.5,0.4960125,0.984113600625,,,,,,,,,,
1,184,492.298943043,18153.0253906,0.9824125,0.5,0.49120625,0.965134320156,,,,,,,,,,
1,185,492.895416975,21369.0585938,0.9815625,0.5,0.49078125,0.963464941406,,,,,,,,,,
